Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
3537,23,May-2026,Odisha,21 to 29 years,Female,Less than Rs. 5 thousand,Graduate,5 and more,3,"Others (Incl. Unemployed, students, etc.)",Worsened,Remain The Same,Remained The Same,Will Improve,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Will Decrease,Remained The Same,Remain The Same,,,<1%,,<1%,,No
3538,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,Self Employed,Improved,Will Improve,Remained The Same,Will Improve,Decreased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
3591,23,May-2026,Odisha,40 to 59 years,Male,Rs 1 lakh and above,5th Std - Below 10th Std,5 and more,6,Salaried Employee,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Decreased,Will Decrease,Decreased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,Yes
3597,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,4-<5%,,No
3598,23,May-2026,Odisha,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,4,Homemaker,Remained The Same,Remain The Same,Improved,Will Improve,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,6-<7%,,No
3620,23,May-2026,Odisha,40 to 59 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,10th Std - Below 12th Std,3 or 4,3,Self Employed,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,Yes
3671,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,No
3699,23,May-2026,Odisha,30 to 39 years,Female,Less than Rs. 5 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,6-<7%,,<1%,,Yes
3700,23,May-2026,Odisha,40 to 59 years,Female,Less than Rs. 5 thousand,Below 5th Std,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,1-<2%,,<1%,,No
3744,23,May-2026,Odisha,60 years and above,Male,Less than Rs. 5 thousand,Below 5th Std,1 or 2,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Increased,Will Decrease,Remained The Same,Will Decrease,Increased,Will Decrease,Decreased,Will Decrease,Increased,Will Decrease,Price Increased Similar To Last Year,,7-<8%,,<1%,,No
3818,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,Yes
4118,23,May-2026,Odisha,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,2,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,No
4119,23,May-2026,Odisha,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,Yes
4120,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,5 and more,1,Daily Worker,Improved,Will Improve,Remained The Same,Remain The Same,Decreased,Will Decrease,Increased,Will Decrease,Increased,Will Increase,Decreased,Will Decrease,Increased,Remain The Same,Price Increased More Than Last Year,,5-<6%,,<1%,,Yes
4121,23,May-2026,Odisha,60 years and above,Male,Less than Rs. 5 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Worsened,Remain The Same,Remained The Same,Will Worsen,Remained The Same,Remain The Same,Increased,Will Decrease,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,Yes
4122,23,May-2026,Odisha,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Decrease,Price Increased More Than Last Year,,5-<6%,,<1%,,Yes
4409,23,May-2026,Odisha,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Decreased,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,>=16%,25,<1%,,No
4420,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,Daily Worker,Worsened,Will Improve,Worsened,Will Improve,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
4440,23,May-2026,Odisha,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,1,Homemaker,Worsened,Will Worsen,Worsened,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,No
4453,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,1 or 2,1,Daily Worker,Worsened,Will Improve,Improved,Will Improve,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,8-<9%,,No
4462,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Worsen,Remained The Same,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,No
4488,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,2,Self Employed,Remained The Same,Will Improve,Remained The Same,Remain The Same,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,10-<11%,,No
4509,23,May-2026,Odisha,60 years and above,Male,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,5 and more,1,Retired Person,Worsened,Will Worsen,Remained The Same,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,12-<13%,,No
4539,23,May-2026,Odisha,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Decreased,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,5-<6%,,<1%,,Yes
4540,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,5-<6%,,<1%,,Yes
4554,23,May-2026,Odisha,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,3,Self Employed,Remained The Same,Remain The Same,Worsened,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,>=16%,20,No
4578,23,May-2026,Odisha,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Remained The Same,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,3-<4%,,4-<5%,,No
4596,23,May-2026,Odisha,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Illiterate,5 and more,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,No
4620,23,May-2026,Odisha,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Worsen,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
4686,23,May-2026,Odisha,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Remained The Same,Will Worsen,Remained The Same,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
4700,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,2,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,6-<7%,,<1%,,Yes
4740,23,May-2026,Odisha,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Homemaker,Worsened,Will Improve,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,10-<11%,,10-<11%,,No
4758,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,1 or 2,1,Self Employed,Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
4780,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Retired Person,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,15-<16%,,No
4833,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
4957,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,2-<3%,,1-<2%,,No
4958,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Improved,Remain The Same,Remained The Same,Remain The Same,Decreased,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Will Decrease,,,<1%,,<1%,,No
4959,23,May-2026,Odisha,40 to 59 years,Male,Less than Rs. 5 thousand,Graduate,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,50,No
4960,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,50,>=16%,99,No
4961,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,10-<11%,,10-<11%,,No
4962,23,May-2026,Odisha,40 to 59 years,Female,Less than Rs. 5 thousand,Below 5th Std,1 or 2,1,Homemaker,Worsened,Will Worsen,Worsened,Remain The Same,Decreased,Will Decrease,Decreased,Will Increase,Decreased,Will Decrease,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,>=16%,30,No
4963,23,May-2026,Odisha,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Salaried Employee,Worsened,Will Worsen,Improved,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,30,>=16%,50,No
4964,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,1,Daily Worker,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Decrease,Remained The Same,Remain The Same,Remained The Same,Will Decrease,Increased,Remain The Same,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
4965,23,May-2026,Odisha,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,5 and more,2,Homemaker,Worsened,Will Worsen,Worsened,Will Worsen,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,>=16%,99,>=16%,99,No
